starttime,detector_id,speed
2018-05-05 00:35:00-07,101184,66.33
2018-05-05 00:35:00-07,101185,71
2018-05-05 00:35:00-07,101186,60.33
2018-05-05 00:35:00-07,101187,58
2018-05-05 00:40:00-07,100890,49
2018-05-05 00:40:00-07,100891,54.89
2018-05-05 00:40:00-07,100892,62.83
2018-05-05 00:40:00-07,100893,61.69
2018-05-05 00:40:00-07,100894,19.5
2018-05-05 00:40:00-07,100895,46.26
2018-05-05 00:40:00-07,100897,52.25
2018-05-05 00:40:00-07,100898,56.51
2018-05-05 00:40:00-07,100899,59.23
2018-05-05 00:40:00-07,100900,55.4
2018-05-05 00:40:00-07,100901,59.46
2018-05-05 00:40:00-07,100902,65.57
2018-05-05 00:40:00-07,100903,50.76
2018-05-05 00:40:00-07,101137,56.41
2018-05-05 00:40:00-07,101138,58.06
2018-05-05 00:40:00-07,101139,60.44
2018-05-05 00:40:00-07,101140,57.84
2018-05-05 00:40:00-07,101141,59.39
2018-05-05 00:40:00-07,101142,63.65
2018-05-05 00:40:00-07,101143,60.6
2018-05-05 00:40:00-07,101144,60.11
2018-05-05 00:40:00-07,101145,62.03
2018-05-05 00:40:00-07,101150,59.29
2018-05-05 00:40:00-07,101151,57.7
2018-05-05 00:40:00-07,101152,63.96
2018-05-05 00:40:00-07,101153,60.91
2018-05-05 00:40:00-07,101154,59.71
2018-05-05 00:40:00-07,101155,66.95
2018-05-05 00:40:00-07,101156,57.57
2018-05-05 00:40:00-07,101157,59.92
2018-05-05 00:40:00-07,101158,60.42
2018-05-05 00:40:00-07,101160,68.2
2018-05-05 00:40:00-07,101161,68.5
2018-05-05 00:40:00-07,101162,63.86
2018-05-05 00:40:00-07,101163,58.55
2018-05-05 00:40:00-07,101164,
2018-05-05 00:40:00-07,101165,61.17
2018-05-05 00:40:00-07,101166,62.55
2018-05-05 00:40:00-07,101167,66.86
2018-05-05 00:40:00-07,101168,64.31
2018-05-05 00:40:00-07,101169,64.89
2018-05-05 00:40:00-07,101170,72.43
2018-05-05 00:40:00-07,101171,61.45
2018-05-05 00:40:00-07,101172,62.27
2018-05-05 00:40:00-07,101173,66.22
2018-05-05 00:40:00-07,101174,63
2018-05-05 00:40:00-07,101175,64.36
2018-05-05 00:40:00-07,101176,71.67
2018-05-05 00:40:00-07,101177,59.86
2018-05-05 00:40:00-07,101178,66.8
2018-05-05 00:40:00-07,101179,72
2018-05-05 00:40:00-07,101180,59.9
2018-05-05 00:40:00-07,101181,61.29
2018-05-05 00:40:00-07,101182,66.43
2018-05-05 00:40:00-07,101183,60.14
2018-05-05 00:40:00-07,101184,66.5
2018-05-05 00:40:00-07,101185,72
2018-05-05 00:40:00-07,101186,61.91
2018-05-05 00:40:00-07,101187,64.67
2018-05-05 00:45:00-07,100890,56.67
2018-05-05 00:45:00-07,100891,57.29
2018-05-05 00:45:00-07,100892,64.03
2018-05-05 00:45:00-07,100893,60.67
2018-05-05 00:45:00-07,100894,61.43
2018-05-05 00:45:00-07,100895,44.84
2018-05-05 00:45:00-07,100897,56.32
2018-05-05 00:45:00-07,100898,59.41
2018-05-05 00:45:00-07,100899,62.2
2018-05-05 00:45:00-07,100900,64.17
2018-05-05 00:45:00-07,100901,64.43
2018-05-05 00:45:00-07,100902,61.88
2018-05-05 00:45:00-07,100903,50.43
2018-05-05 00:45:00-07,101137,50.75
2018-05-05 00:45:00-07,101138,55.71
2018-05-05 00:45:00-07,101139,61.35
2018-05-05 00:45:00-07,101140,56.35
2018-05-05 00:45:00-07,101141,59.5
2018-05-05 00:45:00-07,101142,63.56
2018-05-05 00:45:00-07,101143,60.29
2018-05-05 00:45:00-07,101144,60.27
2018-05-05 00:45:00-07,101145,62
2018-05-05 00:45:00-07,101150,61.83
2018-05-05 00:45:00-07,101151,62.78
2018-05-05 00:45:00-07,101152,64.64
2018-05-05 00:45:00-07,101153,65.22
2018-05-05 00:45:00-07,101154,63.62
2018-05-05 00:45:00-07,101155,66.67
2018-05-05 00:45:00-07,101156,61.5
2018-05-05 00:45:00-07,101157,63.77
2018-05-05 00:45:00-07,101158,59.38
2018-05-05 00:45:00-07,101160,62.89
2018-05-05 00:45:00-07,101161,66.25
2018-05-05 00:45:00-07,101162,57
2018-05-05 00:45:00-07,101163,58
2018-05-05 00:45:00-07,101164,62.8
2018-05-05 00:45:00-07,101165,58.5
2018-05-05 00:45:00-07,101166,60.85
2018-05-05 00:45:00-07,101167,66.63
2018-05-05 00:45:00-07,101168,61.5
2018-05-05 00:45:00-07,101169,64.89
2018-05-05 00:45:00-07,101170,69.57
2018-05-05 00:45:00-07,101171,57.18
2018-05-05 00:45:00-07,101172,63.5
2018-05-05 00:45:00-07,101173,68.2
2018-05-05 00:45:00-07,101174,61.33
2018-05-05 00:45:00-07,101175,65.86
2018-05-05 00:45:00-07,101176,73.75
2018-05-05 00:45:00-07,101177,61.6
2018-05-05 00:45:00-07,101178,71
2018-05-05 00:45:00-07,101179,73.4
2018-05-05 00:45:00-07,101180,62.63
2018-05-05 00:45:00-07,101181,64.56
2018-05-05 00:45:00-07,101182,64
